,0
0,"0.3,0.2,0.3,"
1,"0.5,0.8,0.4,"
2,"0.5,0.4,0.2,"
3,"0.7,0.8,0.4,"
4,"0.4,0.5,0.3,"
5,"0.7,1.0,"
6,"0.6,0.5,0.2,"
7,"0.7,0.9,0.3,"
8,"0.8,0.8,0.3,"
9,"0.8,0.7,0.4,"
10,"0.3,0.4,0.3,"
11,"0.4,0.8,0.4,"
12,"0.9,0.9,0.5,"
13,"0.2,0.3,0.3,"
14,"0.9,0.3,"
15,"0.9,0.3,0.9,"
16,"0.8,0.9,"
17,"0.5,0.6,0.9,"
18,"0.5,0.1,"
19,"0.2,0.5,0.3,"
